game_id	home_team_id	away_team_id	date	neutral_site	game_link
northwestern-purdue	559	0	08/30/2018	0	http://www.ncaa.com/game/football/fbs/2018/08/30/northwestern-purdue#boxscore
howard-kent-st	331	0	09/08/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/08/howard-kent-st#boxscore
utsa-marshall	388	0	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/utsa-marshall#boxscore
tennessee-auburn	37	0	10/13/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/13/tennessee-auburn#boxscore
georgia-st-arkansas-st	0	254	10/18/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/18/georgia-st-arkansas-st#boxscore
utep-louisiana-tech	366	0	10/20/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/20/utep-louisiana-tech#boxscore
iowa-st-oklahoma-st	521	0	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/iowa-st-oklahoma-st#boxscore
vmi-old-dominion	523	0	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/vmi-old-dominion#boxscore
south-carolina-kentucky	334	0	09/29/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/29/south-carolina-kentucky#boxscore
memphis-smu	0	404	11/16/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/16/memphis-smu#boxscore
alcorn-georgia-tech	255	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/alcorn-georgia-tech#boxscore
maryland-indiana	306	0	11/10/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/10/maryland-indiana#boxscore
hawaii-colorado-st	156	0	08/25/2018	0	http://www.ncaa.com/game/football/fbs/2018/08/25/hawaii-colorado-st#boxscore
washington-st-stanford	0	754	10/27/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/27/washington-st-stanford#boxscore
michigan-st-indiana	306	0	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/michigan-st-indiana#boxscore
boise-st-nevada	466	0	10/13/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/13/boise-st-nevada#boxscore
penn-st-illinois	301	0	09/21/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/21/penn-st-illinois#boxscore
miami-oh-akron	5	0	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/miami-oh-akron#boxscore
north-texas-liberty	355	0	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/north-texas-liberty#boxscore
eastern-mich-san-diego-st	0	204	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/eastern-mich-san-diego-st#boxscore
south-fla-illinois	0	301	09/15/2018	1	http://www.ncaa.com/game/football/fbs/2018/09/15/south-fla-illinois#boxscore
arizona-st-arizona	29	0	11/24/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/24/arizona-st-arizona#boxscore
arkansas-st-texas-st	0	30	11/24/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/24/arkansas-st-texas-st#boxscore
byu-utah	0	77	11/24/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/24/byu-utah#boxscore
duke-baylor	0	193	09/15/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/15/duke-baylor#boxscore
massachusetts-uconn	164	0	10/27/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/27/massachusetts-uconn#boxscore
washington-st-southern-california	0	754	09/21/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/21/washington-st-southern-california#boxscore
oregon-st-ohio-st	518	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/oregon-st-ohio-st#boxscore
ucla-arizona-st	0	110	11/10/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/10/ucla-arizona-st#boxscore
northern-ill-byu	77	0	10/27/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/27/northern-ill-byu#boxscore
southern-california-utah	732	0	10/20/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/20/southern-california-utah#boxscore
southern-california-ucla	0	657	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/southern-california-ucla#boxscore
